Code,Description,Sell Price Exc. VAT,Sell Price Inc. VAT
CONSULTDOG,Canine Consultation,49.18,59.02
CPSAEPROSTATE,Canine Prostate Specific Arginine Esterase (CPSE) (Axiom),89.36,107.24
TCIFRZBUNDLE,"Canine Transcervical Frozen Insemination (incl semen handling, thawing, extending & post-thaw assess",0.00,0.00
VAGAI,Canine Vaginal Insemination,66.95,80.34
VAGCYT,"Canine Vaginal Smear, Stain and Cytology",65.00,78.00
TCIPROCEDUREFRZ,Canine Video-endoscopic Transcervical Insemination (Frozen) (TCI),354.43,425.32
TCICHILLBUNDLE,Canine Video-endoscopic Transcervical Insemination (TCI),0.00,0.00
TCIPROCEDURECHILL,Canine Video-endoscopic Transcervical Insemination (TCI),304.43,365.32
CANIPLUSAIBOT,Caniplus AI Semen Extender (per 20ml bottle),89.20,107.04
CANIPLUSAIML,Caniplus AI Semen Extender (per ml),4.46,5.35
CANIPLUSCHILLBOT,Caniplus Premium Chilled Semen Extender (per 20ml bottle),100.00,120.00
CANIPLUSCHILLML,Caniplus Premium Chilled Semen Extender (per ml),5.00,6.00
CANIPLUSFRZBOT,Caniplus Premium Semen Freezing Extender (per 20ml bottle),100.00,120.00
CANIPLUSFRZML,Caniplus Premium Semen Freezing Extender (per ml),5.00,6.00
CARDISURE1.25BOX,Cardisure 1.25mg (per pack of 100 tablets),63.00,75.60
CARDI1.25TAB,Cardisure 1.25mg (per tablet),0.63,0.76
CARDI5TAB,Cardisure 5mg (Pimobendan) Flavoured (per tablet),0.74,0.89
CARDI5,Cardisure 5mg (Pimobendan) Flavoured Tablets (per box of 100 tablets),73.80,88.56
CARTROPHEN,Cartrophen Injectable (per 10ml vial),43.47,52.16
CASTRATEHORSEBUNDLE,Castrate Horse Bundle,0.00,0.00
CASTRATESMALLDOG,Castrate Small Dog,113.55,136.26
CASTRATE,Castration,241.02,289.22
CATHEXTEN,Catheter Extension,1.00,1.20
DRIPSETUP,Catheterisation & Set-Up for Intravenous Fluid Therapy,51.69,62.03
CATHBLADDER,Catheterise Urinary Bladder,42.85,51.42
EXCENEL4,Ceftiofur (Excenel) 50mg/ml Inj Antibiotic (per 4g bottle) (incl 80ml sterile water for i,115.49,138.59
EXCENEL1,Ceftiofur (Excenel) 50mg/ml Injectable (per 1g bottle) (includes 20ml sterile water for inj),49.04,58.85
INFUSIONCEFT,Ceftiofur Intrauterine Infusion (1g Excenel & 60ml Sterile Saline),75.14,90.17
CEMCULT,CEM Culture (Rainbow Lab),30.00,36.00
CEMPCR,CEM PCR (Rainbow Lab),42.50,51.00
CENTRITUBE15BOX,Centrifuge Test Tube 15ml (per 50 pack),9.90,11.88
CENTRITUBE50BOX,Centrifuge Test Tube 50ml (per 25 pack),5.97,7.16
CERTSALES,Certification For Sales (Includes Upload to Repository),24.70,29.64
HEALTHDOCS,Certify Health Documents & Upload to Repository,24.64,29.57
CEMCULTURESCH,Cervical Swab for CEM Culture (Scheme),0.00,0.00
CHANAZBOT,Chanazine 10% (Xylazine 100mg/ml) Inj (per 50ml bottle),586.43,703.72
CHANAZML,Chanazine 10% Injectable (per ml),11.73,14.07
CHILL1ST,Chilled AI Package FIRST CYCLE,410.83,493.00
CHILLSUB,Chilled AI Package SUBSEQUENT CYCLE,325.00,390.00
