Code,Description,Sell Price Exc. VAT,Sell Price Inc. VAT
SCANCHEST,Ultrasound Scan Chest,74.46,89.35
SCANCHESTDISC,Ultrasound Scan Chest Special Discount,36.92,44.30
SCANMARE,Ultrasound Scan Mare Reproductive Tract,50.50,60.60
SCANMARESCH,Ultrasound Scan Mare Reproductive Tract (Scheme),0.00,0.00
SCANPELVIS,Ultrasound Scan Pelvis,94.12,112.94
SCANPLACENTA,Ultrasound Scan Placenta & Foetus (Per-Rectum),72.80,87.36
SCANST,Ultrasound Scan Soft Tissue,56.77,68.12
SCANTEN1,Ultrasound Scan Tendons/Ligaments,112.32,134.78
SCANTENFU,Ultrasound Scan Tendons/Ligaments - Follow Up Exam,80.34,96.41
SCANTEN2,Ultrasound Scan Tendons/Ligaments Prolonged,164.32,197.18
SCANTESTICDOG,Ultrasound Scan Testicles Dog,149.97,179.96
SCANUMB,Ultrasound Scan Umbilical Structures (Navel),59.45,71.34
ASPIRUTEFLUID,Ultrasound-Guided Aspiration of Uterine Fluid,68.64,82.37
TENDONSPLIT,Ultrasound-Guided Tendon Splitting Surgery,323.61,388.33
RINGHERNIA,Umbilical Hernia Ring Repair,88.40,106.08
EXPORTUS,"United States Export Certification (Incl Pre-Export Documentation, Clinical Exam & Final Export Cert",186.22,223.46
SVCLIFF,Unscheduled Call-Out Cliff Stud,36.40,43.68
SVKEMP,Unscheduled Call-Out Fir Tree Farm,41.60,49.92
SVGLENWOOD,Unscheduled Call-Out Glenwood Stud,65.00,78.00
SVHIGHFIELD,Unscheduled Call-Out Highfield Yard,21.42,25.70
SVCAMACHO,Unscheduled Call-Out JAC Racing/Star Cottage Stables,14.25,17.10
SVLEAKE,Unscheduled Call-Out Leake Stud,68.64,82.37
SVALBAROSA,Unscheduled Visit Albarosa Stud,74.00,88.80
SVBATTLEFIELD,Unscheduled Visit Battlefield Stud,10.92,13.10
SVBCS,Unscheduled Visit Branton Court Stud,77.00,92.40
SVBURSEA,Unscheduled Visit Bursea Lodge Stud,64.48,77.38
SVGARROWBY,Unscheduled Visit Garrowby Stud,33.28,39.94
FAILEDDOGCOLLECT,Unsuccessful Semen Collection Dog,78.00,93.60
VIDEOSCOPESALES,Upper Respiratory Videoendoscopy for Sales (includes upload to repository),101.76,122.11
POSTAGEURGENT,Urgent Postage and Packaging,0.00,0.00
URINE,Urinalysis Lab Fee,20.62,24.74
GGTCREAT,Urine GGT:Creatinine Ratio (Rainbow Lab),20.00,24.00
PYOSCANBITCH,US Scan Bitch Uterus for Pyometra,78.00,93.60
SCANDOGPROSTATE,US Scan Dog Prostate,80.34,96.41
SCANBITCHREPRO,US Scan Female Reproductive Tract,221.00,265.20
SCANDOGREPRO,US Scan Male Genitourinary Tract,176.75,212.10
UTEBIOPSY,Uterine Biopsy,85.16,102.19
UTECYTCULTSEN,"Uterine Culture, Sensitivity & Cytology (Rainbow Lab)",42.00,50.40
UFT,Uterine Flushing Tube (per tube),7.26,8.71
PIPETTE,Uterine Infusion Pipette,0.75,0.90
UTROGBOX,Utrogestan 100mg (per box of 30 capsules),20.00,24.00
UTROGCAP,Utrogestan 100mg (per capsule),0.67,0.80
VACUETTEBOX,"Vacuette Drawing Needle 20G 1"" (per 100 box)",21.59,25.91
VDSKIT,VDS Blood Sampling Kit (Incl Postage & 6 Months Storage),28.66,34.39
VENTIPULMBOT,Ventipulmin (Clenbuterol) Injectable (per 50ml bottle),109.74,131.69
VENTIPULMML,Ventipulmin (Clenbuterol) Injectable (per ml),2.19,2.63
VENTIGRANTUB,Ventipulmin Oral Granules (per 500g tub),68.82,82.59
VENTISYRUPBOT,Ventipulmin Oral Syrup (per 355ml bottle),65.94,79.13
RABIESVACC,Versiguard Rabies Vaccination,30.32,36.38
VWLARGEBOX,Vet Wrap LARGE Premium Cohesive Conforming Belly Bandage (per 6 pack),86.08,103.30
VWLARGEC,Vet Wrap LARGE Premium Cohesive Conforming Belly Bandage (per roll),14.35,17.22
VWBOX,Vet Wrap Premium Cohesive Conforming Bandage 10cm (per 18 pack),39.60,47.52
VWC,Vet Wrap Premium Cohesive Conforming Bandage 10cm (per roll),2.20,2.64
VETCT,VetCT Remote Consultancy (per case),37.49,44.99
VETERICYN500,Vetericyn VF 500ml hydrogel wound spray,23.75,28.50
VETIVEX100,Vetivex 1 Sterile Isotonic Solution (per 100ml bag),5.68,6.82
VETIVEX113L,Vetivex 11 3L,6.32,7.58
VETIVEX115L,Vetivex 11 5L,20.10,24.12
XRAYVETTING,Vetting Radiography (includes up to 48 plates),840.89,1009.07
VGEMINI,Vetting Visit Gemini Sportshorses,84.00,100.80
SCOPESTANDARD,Video-Endoscopic Examination,107.12,128.54
SCOPETRAINER,Video-Endoscopic Examination (Trainers Special Discount),82.50,99.00
CYSTOSCOPY1,"Videoendoscopic Bladder, Urethra & Trigone",147.29,176.75
HYSTEROSCOPY,"Videoendoscopic Examination of Vagina, Cervix & Uterus (Hysteroscopy)",187.46,224.95
VNT,Virus Neutralising Test (Rainbow Lab),49.00,58.80
VM,Visit Malton Racing Yard,10.92,13.10
VBARKER,Visit Pasture House Farm (Paul Barker),53.04,63.65
FRAGILEFOAL,Warmblood Fragile Foal Syndrome (WFFS) Genetic Test (Laboklin),48.00,57.60
WEATHERBYSCHIP,Weatherbys TB Microchip,0.00,0.00
WETWIPES,Wet Wipes (per pack),0.83,1.00
WCC,White Cell (Inflammatory Cell) Count (Rainbow Lab),31.00,37.20
WIDEBOREGIVSET,Wide Bore Fluid Giving Set (single),5.41,6.49
6002715,WRITE OFF DEBT,0.00,0.00
RX,Written Prescription,17.50,21.00
REPORT,Written Veterinary Report (per 15 minutes),25.00,30.00
YPOZANE3.75BOX,Ypozane 3.75mg (per box of 7x tablets),44.18,53.02
YPOZANETAB,Ypozane 3.75mg (per tablet),6.31,7.57
ZYBOX,Zylexis Immune Stimulant (Inactivated Parapox ovis virus)  (per box of 5x 2ml vials),171.75,206.10
ZYML,Zylexis Immune Stimulant (Inactivated Parapox ovis virus) (per ml),17.18,20.61
